ifcguid,d_dr_ew,d_dr_sn,exit,height,id,rough_height,storey_exit,type_ifcguid,classification
1W6Thknzf2qup40FGN1NDR,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
1W6Thknzf2qup40FGN1NDU,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
1W6Thknzf2qup40FGN1NCl,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
1W6Thknzf2qup40FGN1NCd,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
1W6Thknzf2qup40FGN1NCa,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
1W6Thknzf2qup40FGN1NCx,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
1W6Thknzf2qup40FGN1N3x,,,,,,2.1,,0dwJ1JWsv3L8A_XhzwP5MW,door
1W6Thknzf2qup40FGN1N3o,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
1W6Thknzf2qup40FGN1N3p,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
1W6Thknzf2qup40FGN1N3m,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
1W6Thknzf2qup40FGN1N3F,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2_414Bjl90PPXdZA2Pm_WY,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2_414Bjl90PPXdZA2Pm_Wz,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2_414Bjl90PPXdZA2Pm_Ww,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2_414Bjl90PPXdZA2Pm_Wq,,,,,,2.1,,0dwJ1JWsv3L8A_XhzwP5MW,door
2_414Bjl90PPXdZA2Pm_XD,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2_414Bjl90PPXdZA2Pm_X6,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2_414Bjl90PPXdZA2Pm_X7,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
2_414Bjl90PPXdZA2Pm_XR,,,,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,door
