id,elementifcguid,name,value,classification
3596045,2_414Bjl90PPXdZA2Pm_ZI,E1_OK_d_wl_sn8,2.289797808,parameter
3596046,2_414Bjl90PPXdZA2Pm_Zk,E1_OK_d_wl_sn9,4.925001072,parameter
3596047,2_414Bjl90PPXdZA2Pm_yY,E1_OK_d_wl_sn10,7.819957944,parameter
3596048,2_414Bjl90PPXdZA2Pm_yW,E1_OK_d_wl_sn11,7.819957944,parameter
3596049,2_414Bjl90PPXdZA2Pm_yw,E1_OK_d_wl_sn12,9.134956584000001,parameter
3596050,2_414Bjl90PPXdZA2Pm_yu,E1_OK_d_wl_sn13,9.2699586,parameter
3596051,2_414Bjl90PPXdZA2Pm_ys,E1_OK_d_wl_sn14,7.819957944,parameter
3596052,2_414Bjl90PPXdZA2Pm_yq,E1_OK_d_wl_sn15,7.819957944,parameter
3596053,2_414Bjl90PPXdZA2Pm$9a,E1_OK_d_wl_sn16,18.749957928,parameter
3596054,1$oxVaKhLDJu2CngOBCgIv,E1_OK_d_wl_sn17,0.0,parameter
3596055,2Bq14yaGX6nfJvHeT6kGT6,E1_OK_d_wl_sn18,6.105058656000001,parameter
3596056,2$gFCyRLn3YxmJ7kU3eXBo,E1_OK_d_wl_sn19,13.474958064000003,parameter
3596057,1iin7g1k928O2DBRSrKlQo,E1_OK_d_wl_sn20,2.7500000879999997,parameter
3596058,1iin7g1k928O2DBRSrKkB3,E1_OK_d_wl_sn21,10.724957976,parameter
3596059,1iin7g1k928O2DBRSrKk0E,E1_OK_d_wl_sn22,13.474958064000003,parameter
3596060,28pOo0cPL6KPXfzSWk0aFx,E1_OK_d_wl_sn23,8.598947496000001,parameter
3596061,2$gFCyRLn3YxmJ7kU3eXtQ,E1_OK_d_wl_sn24,11.094957744,parameter
3596062,01wC7e5xX8IhN2Udwoqtkw,E1_OK_d_wl_sn25,11.094957744,parameter
3596063,16sF2PP3fDW80DhY_ucSuj,E1_OK_d_wl_sn26,7.594957632000001,parameter
