,U1_OK_d_wl_ew6,U1_OK_d_wl_sn21,U1_OK_d_wl_sn26,U1_OK_d_wl_sn10,U1_OK_d_wl_ew35,compliance-IBC1020_2,compliance-IBC1207_1,compliance-IBC1207_3,compliance
190,2.5442,2.5802,7.779199999999999,5.166799999999999,9.713,True,True,False,False
191,2.9786,2.5706,7.8788,5.110399999999999,9.7958,False,True,True,False
192,2.6594,2.4986,7.666399999999999,5.1464,9.7322,True,True,False,False
193,2.6042,2.729,7.826,5.0816,9.6482,True,True,False,False
194,2.4962,2.741,7.6232,5.0912,9.773,True,True,False,False
195,2.9618,2.6858,7.853599999999999,5.186,9.8186,False,True,True,False
196,2.945,2.4974000000000003,7.76,4.997599999999999,9.6026,False,True,False,False
197,2.5826,2.5346,7.6364,5.0756,9.7598,True,True,False,False
198,3.0506,2.483,7.6388,4.9688,9.6914,False,True,True,False
199,2.6906,2.6666,7.814,5.1548,9.7502,True,True,False,False
200,2.6738,2.561,7.819999999999999,5.062399999999999,9.5522,False,True,False,False
201,2.525,2.5634,7.7444,5.103199999999999,9.5642,True,True,False,False
202,3.0266,2.7398,7.7756,5.066,9.6746,False,True,False,False
203,2.6498,2.4674,7.6484,4.9472,9.5774,False,True,False,False
204,2.7722,2.6834,7.707199999999999,5.132,9.6038,False,True,False,False
205,2.8994,2.6846,7.6604,4.958,9.7166,False,True,False,False
206,2.561,2.6222,7.770799999999999,5.0612,9.5534,True,True,False,False
207,2.7026,2.4578,7.7288,5.0084,9.7274,True,True,False,False
208,2.9642,2.4698,7.754,4.965199999999999,9.6422,False,True,False,False
209,2.873,2.6978,7.8656,5.0168,9.5798,False,True,False,False
210,2.693,2.6942,7.6532,5.0552,9.5882,False,True,False,False
211,2.5298,2.7182,7.891999999999999,5.0936,9.791,True,True,False,False
212,2.7194,2.7422,7.7576,5.1416,9.7874,True,True,False,False
213,3.0074,2.6894,7.6928,5.0828,9.7646,False,True,False,False
214,2.9882,2.645,7.6712,5.127199999999999,9.6074,False,True,True,False
215,2.9402,2.609,7.885999999999999,5.1488,9.6398,False,True,True,False
216,3.0554,2.6582,7.763599999999999,5.013199999999999,9.809,False,True,False,False
217,2.9258,2.6594,7.8908,4.9628,9.7106,False,True,False,False
218,2.8826,2.6246,7.6472,5.156,9.7994,False,True,False,False
219,2.897,2.5154,7.681999999999999,4.964,9.7934,False,True,False,False
220,2.8202,2.5322,7.8632,5.0684,9.8114,True,True,False,False
221,3.029,2.4998,7.739599999999999,5.1608,9.7778,False,True,True,False
222,2.7458,2.7146,7.867999999999999,5.118799999999999,9.8366,True,True,False,False
223,2.8298,2.5814,7.8224,4.9868,9.8294,True,True,False,False
224,2.5754,2.6654,7.811599999999999,5.0072,9.5438,False,True,False,False
225,2.7938,2.5250000000000004,7.7768,4.9388,9.7046,False,True,False,False
226,2.5082,2.6678,7.88,5.1632,9.8306,True,True,False,False
227,2.8922,2.5526,7.7048,5.0348,9.635,False,True,False,False
228,2.6354,2.4842,7.8896,5.174,9.6002,False,True,False,False
229,3.0434,2.6198,7.708399999999999,4.9844,9.7574,False,True,False,False
230,2.5418,2.4686000000000003,7.788799999999999,5.1056,9.6374,True,True,False,False
231,2.957,2.6174,7.804399999999999,5.0732,9.6602,False,True,True,False
232,3.0362,2.5082,7.869199999999999,4.934,9.5426,False,True,True,False
233,2.5898,2.5094000000000003,7.7684,4.946,9.8234,True,True,False,False
234,2.4938,2.6258,7.7588,5.1296,9.5594,True,True,False,False
235,2.4674,2.7038,7.601599999999999,4.94,9.7286,True,True,False,False
236,2.6066,2.7458,7.828399999999999,5.0432,9.6194,True,True,False,False
237,2.609,2.6906,7.6952,5.1728,9.827,True,True,False,False
238,2.8898,2.7122,7.7852,5.2124,9.7514,False,True,True,False
239,2.6018,2.5694,7.6628,4.9748,9.755,True,True,False,False
240,2.753,2.6966,7.8716,5.1152,9.5954,False,True,False,False
241,2.657,2.7074,7.697599999999999,4.9556,9.557,False,True,False,False
242,2.9378,2.6354,7.7108,5.0312,9.701,False,True,False,False
243,2.4722,2.5994,7.6304,5.0252,9.7886,True,True,False,False
244,2.8778,2.4770000000000003,7.832,4.9832,9.815,False,True,False,False
245,2.5946,2.507,7.8884,5.042,9.7238,True,True,False,False
246,2.9546,2.5574,7.6652,5.0528,9.725,False,True,True,False
247,2.6306,2.6006,7.7036,5.1332,9.6434,True,True,False,False
248,2.549,2.7494,7.7432,5.1044,9.7214,True,True,False,False
249,2.933,2.5442,7.7672,5.134399999999999,9.6554,False,True,True,False
250,2.645,2.6714,7.8416,5.0636,9.7298,True,True,False,False
251,3.2456,2.6081,7.6781,5.335699999999999,9.6551,False,True,True,False
252,2.5172,2.6579,8.0243,5.4581,9.8861,True,True,False,False
253,2.3012,2.6453,7.7741,5.172499999999999,9.6767,True,False,False,False
254,2.678,2.2463,8.1359,5.031499999999999,9.5951,False,False,False,False
255,2.9072,2.1701,8.1881,5.3435,9.8153,False,False,False,False
256,2.4464,2.4647,7.8731,5.3405,9.8411,True,True,False,False
257,2.9276,2.2115,7.6973,5.384899999999999,10.0235,True,False,False,False
258,3.3524000000000003,2.4185,7.9463,5.462899999999999,10.0373,False,True,True,False
259,2.3792,2.5913,7.728499999999999,5.214499999999999,9.8615,True,True,False,False
260,3.014,2.5535,7.9817,4.9313,9.9917,False,True,False,False
261,2.2712,2.6909,8.005700000000001,5.2067,9.8639,True,False,False,False
262,2.414,2.3909,7.8923,5.206099999999999,9.5783,True,True,False,False
263,2.2556,2.2571,7.7345,5.117299999999999,9.9101,True,False,False,False
264,2.4152,2.6471,7.9487,4.9847,10.0067,True,True,False,False
265,2.5436,2.5715,7.8725,5.2199,9.8891,True,True,False,False
266,3.0452,2.5463,8.1923,5.402299999999999,9.8399,False,True,True,False
267,2.7332,2.6207,7.6535,5.1053,9.8075,True,True,False,False
268,2.3108,2.5589,7.6295,5.521699999999999,9.8129,True,False,False,False
269,2.7308,2.5361,7.8311,5.0531,9.8027,True,True,False,False
270,2.6744,2.1851,7.7933,5.1227,9.9095,True,False,False,False
271,2.9708,2.5451,7.6055,5.035699999999999,9.5993,False,True,True,False
272,2.354,2.5187,7.8935,5.0057,9.7895,True,True,False,False
273,2.558,2.5565,7.8431,5.1323,9.5831,True,True,False,False
274,3.0164,2.4635,7.667899999999999,5.3591,9.7691,False,True,False,False
275,2.6336,2.5865,8.0891,5.378299999999999,10.0289,True,True,False,False
276,2.2544,2.4821,7.7519,5.3423,9.6953,True,False,False,False
