,U1_OK_d_wl_ew6,U1_OK_d_wl_sn21,U1_OK_d_wl_sn26,U1_OK_d_wl_sn10,U1_OK_d_wl_ew35,compliance-IBC1020_2,compliance-IBC1207_1,compliance-IBC1207_3,compliance
206,2.561,2.6222,7.7708,5.0612,9.5534,TRUE,TRUE,FALSE,FALSE
207,2.7026,2.4578,7.7288,5.0084,9.7274,TRUE,TRUE,FALSE,FALSE
208,2.9642,2.4698,7.754,4.9652,9.6422,FALSE,TRUE,FALSE,FALSE
209,2.873,2.6978,7.8656,5.0168,9.5798,FALSE,TRUE,FALSE,FALSE
210,2.693,2.6942,7.6532,5.0552,9.5882,FALSE,TRUE,FALSE,FALSE
211,2.5298,2.7182,7.892,5.0936,9.791,TRUE,TRUE,FALSE,FALSE
212,2.7194,2.7422,7.7576,5.1416,9.7874,TRUE,TRUE,FALSE,FALSE
213,3.0074,2.6894,7.6928,5.0828,9.7646,FALSE,TRUE,FALSE,FALSE
214,2.9882,2.645,7.6712,5.1272,9.6074,FALSE,TRUE,TRUE,FALSE
215,2.9402,2.609,7.886,5.1488,9.6398,FALSE,TRUE,TRUE,FALSE
216,3.0554,2.6582,7.7636,5.0132,9.809,FALSE,TRUE,FALSE,FALSE
217,2.9258,2.6594,7.8908,4.9628,9.7106,FALSE,TRUE,FALSE,FALSE
218,2.8826,2.6246,7.6472,5.156,9.7994,FALSE,TRUE,FALSE,FALSE
219,2.897,2.5154,7.682,4.964,9.7934,FALSE,TRUE,FALSE,FALSE
220,2.8202,2.5322,7.8632,5.0684,9.8114,TRUE,TRUE,FALSE,FALSE
221,3.029,2.4998,7.7396,5.1608,9.7778,FALSE,TRUE,TRUE,FALSE
222,2.7458,2.7146,7.868,5.1188,9.8366,TRUE,TRUE,FALSE,FALSE
223,2.8298,2.5814,7.8224,4.9868,9.8294,TRUE,TRUE,FALSE,FALSE
224,2.5754,2.6654,7.8116,5.0072,9.5438,FALSE,TRUE,FALSE,FALSE
225,2.7938,2.525,7.7768,4.9388,9.7046,FALSE,TRUE,FALSE,FALSE
226,2.5082,2.6678,7.88,5.1632,9.8306,TRUE,TRUE,FALSE,FALSE
227,2.8922,2.5526,7.7048,5.0348,9.635,FALSE,TRUE,FALSE,FALSE
